Ref	Priority	Severity
99369	Medium	L2
99370	Low	L2
99371	Medium	L2
99372	Medium	L2
99373	Low	L2
99374	Low	L1
99375	High	L2
99376	Low	L2
99377	Low	L2
99378	Low	L3
99379	High	L1
99380	Medium	L1
99381	Low	L2
99382	Low	L2
99383	Low	L2
99384	High	L3
99385	Low	L2
99386	High	L2
99387	High	L1
99388	Low	L2
99389	High	L1
99390	High	L2
99391	Low	L5
99392	Medium	L1
99393	High	L2
99394	Low	L1
99395	High	L1
99396	Low	L2
99397	High	L1
99398	Low	L1
99399	Low	L5
99400	Low	L1
99401	High	L2
99402	Medium	L1
99403	Medium	L1
99404	Low	L1
99405	Medium	L5
99406	Low	L3
99407	High	L2
99408	Low	L1
99409	High	L2
99410	Low	L1
99411	Medium	L5
99412	High	L1
99413	Low	L1
99414	Low	L2
99415	Medium	L2
99416	High	L2
99417	High	L2
99418	Low	L1
99419	Low	L5
99420	Low	L2
99421	Low	L2
99422	Low	L2
99423	High	L1
99424	Low	L5
99425	Low	L1
99426	Low	L2
99427	Low	L3
99428	Medium	L5
99429	Low	L1
99430	Low	L2
99431	Low	L2
99432	High	L2
99433	Low	L1
99434	Low	L2
99435	Low	L2
99436	Medium	L2
99437	Low	L3
99438	Medium	L1
99439	Low	L2
99440	High	L1
99445	Low	L2
99446	Medium	L5
99447	Low	L3
99448	Low	L2
99449	Medium	L2
99450	Medium	L2
99451	Low	L1
99452	Low	L2
99453	Low	L2
99454	Low	L2
99455	Low	L2
99456	Low	L2
99457	Medium	L2
99458	Medium	L2
99459	Low	L2
99460	Low	L2
99461	Low	L2
99462	Low	L1
99463	Medium	L2
99464	High	L1
99465	Medium	L2
99466	Medium	L2
99467	Low	L1
99468	Medium	L2
99469	Low	L1
99470	High	L2
99471	Low	L1
99472	Low	L2
99473	Medium	L1
99474	Low	L1
99475	High	L2
99476	Medium	L2
99477	Low	L2
99478	High	L1
99479	Low	L5
99480	Medium	L1
99481	Medium	L1
99482	Low	L2
99483	Low	L5
99484	Low	L2
99485	High	L5
99486	High	L2
99487	Low	L3
99488	Medium	L5
99489	High	L1
99490	Low	L1
99491	Medium	L3
99492	Low	L1
99493	Low	L3
99494	Medium	L1
99495	Medium	L1
99496	Low	L2
99497	Medium	L2
99498	Low	L3
99499	Medium	L1
99500	Low	L2
99501	High	L1
99502	Medium	L2
99503	Medium	L3
99504	High	L1
99505	High	L1
99506	High	L2
99507	High	L1
99508	High	L2
99509	Low	L2
99510	High	L5
99511	High	L1
99512	Medium	L2
99513	High	L2
99514	Low	L1
99515	Medium	L1
99516	High	L5
99517	High	L2
99518	Low	L1
99519	High	L1
99520	High	L1
99521	High	L2
99522	High	L1
99523	High	L2
99524	Medium	L2
99525	Medium	L1
99526	Low	L2
99527	Medium	L3
99528	High	L1
99529	Medium	L2
99530	Low	L2
99531	Medium	L3
99532	Medium	L5
99533	Low	L1
99534	Medium	L5
99535	Low	L2
99536	Low	L1
99537	High	L2
99538	High	L2
99539	Medium	L5
99540	Medium	L5
99541	Low	L5
99542	Low	L5
99543	Low	L1
99544	Low	L1
99545	Low	L1
99546	Medium	L1
99547	Low	L1
99548	High	L1
99549	High	L1
99550	High	L1
99551	Low	L2
99552	Low	L1
99553	High	L3
99554	Medium	L2
99555	Medium	L1
99556	Low	L2
99557	Low	L1
99558	High	L5
99559	High	L1
99560	Low	L1
99561	Low	L2
99562	Low	L1
99563	Low	L5
99564	Medium	L2
99565	Medium	L1
99566	High	L2
99567	Low	L1
99568	Medium	L1
99569	High	L2
99570	Medium	L3
99571	Low	L2
99572	Low	L1
99573	High	L1
99574	Medium	L1
99575	Low	L5
99576	Low	L3
99577	Low	L2
99578	Low	L1
99579	Low	L5
99580	Low	L2
99581	Low	L1
99582	High	L5
99583	Low	L2
99584	Medium	L5
99585	Low	L1
99586	Medium	L1
99587	High	L2
99588	Low	L1
99589	Medium	L2
99590	Low	L1
99591	Medium	L2
99592	Low	L1
99593	Low	L5
99594	Medium	L1
99595	Medium	L1
99596	High	L1
99597	Medium	L2
99598	Low	L2
99599	Low	L1
99600	High	L5
99601	Low	L5
99602	Low	L2
99603	Low	L3
99604	Low	L1
99605	Low	L3
99606	Low	L2
99607	Medium	L5
99608	Low	L2
99609	Low	L1
99610	Low	L1
99611	Medium	L1
99612	Medium	L2
99613	High	L1
99614	Low	L2
99615	Low	L2
99616	High	L1
99617	Low	L1
99618	High	L1
99619	Medium	L1
99620	High	L1
99621	Low	L1
99622	Medium	L1
99623	High	L2
99624	Medium	L2
99625	Medium	L3
99626	Low	L1
99627	Low	L1
99628	Medium	L5
99629	Low	L3
99630	High	L1
99631	Low	L5
99632	Low	L1
99633	Low	L2
99634	High	L3
99635	Medium	L1
99636	Low	L2
99637	High	L2
99638	Medium	L2
99639	High	L2
99640	Medium	L1
99641	Medium	L2
99642	High	L1
99643	High	L1
99644	Medium	L1
99645	Low	L1
99646	Low	L1
99647	Low	L1
99648	High	L1
99649	Medium	L1
99650	Low	L5
99651	Medium	L2
99652	Medium	L1
99653	Low	L1
99654	High	L2
99655	High	L1
99656	Medium	L1
99657	Low	L1
99658	Low	L1
99659	Low	L1
99660	Low	L1
99661	Low	L5
99662	High	L2
99663	Low	L2
99664	Low	L1
99665	Medium	L1
99666	Low	L5
99667	Low	L2
99668	Medium	L1
99669	Low	L1
99670	High	L2
99671	Low	L5
99672	High	L2
99673	Medium	L2
99674	Medium	L2
99675	Medium	L2
99676	Low	L2
99677	Low	L2
99678	Low	L1
99679	Low	L1
99680	Medium	L1
99681	Medium	L1
99684	High	L2
99685	Low	L1
99686	Low	L5
99687	Medium	L1
99688	Low	L5
99689	Low	L4
99690	Medium	L3
99691	High	L1
99692	Low	L1
99693	Low	L1
99694	Low	L1
99695	Medium	L1
99696	Low	L1
99697	Low	L1
99698	Low	L1
99699	Low	L1
99700	Low	L1
99701	Low	L1
99702	Medium	L1
99703	Low	L1
99704	Low	L2
99705	Medium	L1
99706	High	L1
99707	Low	L1
99708	Low	L1
99709	High	L1
99710	Medium	L1
99711	Low	L1
99712	Medium	L1
99713	Low	L1
99714	Medium	L1
99715	Low	L1
99716	Low	L1
99717	Medium	L1
99718	Low	L1
99719	Low	L1
99720	High	L1
99721	Low	L1
99722	Low	L1
99723	High	L1
99724	High	L1
99725	Low	L5
99726	Low	L2
99727	Medium	L5
99728	High	L2
99729	Low	L3
99730	Medium	L1
99731	Low	L3
99732	High	L1
99733	Medium	L5
99734	Low	L1
99735	High	L5
99736	Low	L2
99737	Low	L2
99738	High	L1
99739	Low	L2
99740	Medium	L2
99741	High	L5
99742	High	L1
99743	Low	L2
99744	High	L2
99745	Low	L2
99746	Low	L1
99747	High	L2
99748	Medium	L1
99749	High	L1
99750	High	L2
99751	High	L1
99752	Low	L1
99753	High	L1
99754	Low	L1
99755	Low	L1
99756	Low	L1
99757	Medium	L1
99760	Medium	L1
99763	Low	L1
99764	Low	L5
99765	Medium	L1
99766	Low	L1
99767	Medium	L2
99768	Low	L1
99769	Medium	L2
99770	Medium	L1
99771	Medium	L2
99772	Medium	L2
99773	High	L1
99774	Low	L1
99775	Low	L2
99776	Low	L2
99777	Low	L2
99778	Low	L5
99779	Medium	L1
99780	Low	L1
99781	Medium	L1
99782	Low	L5
99783	High	L2
99784	Low	L2
99785	Medium	L2
